Ad name,Week,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Link clicks,Website purchases,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Frequency,Clicks (all),CTR (link click-through rate),Unique CTR (link click-through rate),Unique clicks (all),Unique CTR (all),Adds to cart,Cost per add to cart,Website checkouts initiated,Landing page views,Cost per landing page view,CPC (All),Purchases conversion value,Reporting starts,Reporting ends
60minShubhamHindi,2022-02-05 - 2022-02-11,Website purchases,,5443,5635,,570.16,39,,14.6194872,101.181899,1.29547471,1.03527466,73,0.69210293,0.67977218,61,1.12070549,11,51.8327273,11,34,16.7694118,7.81041096,,05/02/22,11/02/22
60minShubhamHindi,2022-01-29 - 2022-02-04,Website purchases,3,89449,119410,2140.85333,6422.56,618,3,10.3924919,53.7857801,0.83996315,1.33495064,1003,0.51754459,0.63723463,810,0.90554394,106,60.5901887,109,480,13.3803333,6.40334995,1497,29/01/22,04/02/22
60minShubhamHindi,2022-01-22 - 2022-01-28,Website purchases,1,66585,85848,4672.88,4672.88,519,1,9.00362235,54.4320194,0.9458578,1.28929939,812,0.60455689,0.68934445,641,0.96267928,133,35.1344361,140,402,11.6240796,5.75477833,499,22/01/22,28/01/22
60minShubhamHindi,2022-01-15 - 2022-01-21,Website purchases,11,122526,164553,826.531818,9091.85,903,11,10.0684939,55.2518034,0.87631341,1.34300475,1442,0.54875937,0.66924571,1184,0.96632551,240,37.8827083,268,716,12.6981145,6.30502774,5489,15/01/22,21/01/22
60minShubhamHindi,2022-01-08 - 2022-01-14,Website purchases,7,101120,130479,1160.14,8120.98,686,7,11.8381633,62.2397474,0.83461706,1.29033821,1089,0.5257551,0.61511076,887,0.87717563,154,52.7336364,170,514,15.799572,7.45728191,3493,08/01/22,14/01/22
60minShubhamHindi,2022-01-01 - 2022-01-07,Website purchases,3,91331,133167,3289.56333,9868.69,756,3,13.0538228,74.1076243,0.91163727,1.4580701,1214,0.56770822,0.73797506,984,1.07739979,158,62.4600633,171,581,16.9856971,8.12906919,1497,01/01/22,07/01/22
60minShubhamHindi,2022-04-16 - 2022-04-18,Website purchases,6,116891,146742,2201.275,13207.65,550,6,24.0139091,90.0059288,0.61332134,1.25537467,900,0.37480749,0.4388704,781,0.66814383,53,249.200943,66,334,39.5438623,14.6751667,2994,16/04/22,18/04/22
60minShubhamHindi,2022-04-09 - 2022-04-15,Website purchases,14,403635,646129,3890.72571,54470.16,2145,14,25.394014,84.3022988,0.53704446,1.60077545,3470,0.33197705,0.48856021,2957,0.73259257,132,412.652727,166,1228,44.3568078,15.6974525,6986,09/04/22,15/04/22
60minShubhamHindi,2022-04-02 - 2022-04-08,Website purchases,33,374529,637640,1840.65818,60741.72,2190,33,27.7359452,95.2602095,0.54842858,1.70251169,3497,0.34345399,0.53293603,2971,0.79326301,172,353.149535,224,1284,47.3066355,17.3696654,14969,02/04/22,08/04/22
60minShubhamHindi,2022-03-26 - 2022-04-01,Website purchases,18,318977,492323,2772.98889,49913.8,2252,18,22.1642096,101.384254,0.7261493,1.54344357,3575,0.45742328,0.66023569,3103,0.97279741,145,344.233103,184,1103,45.2527652,13.9619021,8982,26/03/22,01/04/22
60minShubhamHindi,2022-03-19 - 2022-03-25,Website purchases,4,31727,41173,1095.845,4383.38,228,4,19.2253509,106.462488,0.83064144,1.29772749,342,0.55376096,0.67765625,304,0.95817443,19,230.704211,25,175,25.0478857,12.8169006,1996,19/03/22,25/03/22
Ad1-Carousel,2022-03-05 - 2022-03-11,Website purchases,1,8957,9688,463.61,463.61,32,1,14.4878125,47.8540462,0.48513625,1.08161215,47,0.33030553,0.35726248,45,0.50240036,2,231.805,3,17,27.2711765,9.86404255,499,05/03/22,11/03/22
Ad1-Carousel,2022-02-26 - 2022-03-04,Website purchases,,133193,214654,,11443.16,575,,19.9011478,53.3097916,0.42626739,1.61160121,915,0.26787295,0.36113009,695,0.52179919,8,1430.395,9,258,44.3533333,12.5061858,,26/02/22,04/03/22
Ad1-Carousel,2022-02-19 - 2022-02-25,Website purchases,7,353447,567924,3998.21714,27987.52,1243,7,22.5161062,49.2803967,0.37188074,1.60681517,2112,0.21886731,0.33244022,1915,0.54180683,38,736.513684,45,649,43.1240678,13.2516667,2495,19/02/22,25/02/22
Ad1-Carousel,2022-02-12 - 2022-02-18,Website purchases,3,104219,121483,1925.90333,5777.71,385,3,15.007039,47.5598232,0.52517636,1.16565118,638,0.31691677,0.35598116,593,0.56899414,19,304.09,25,255,22.6576863,9.05597179,1497,12/02/22,18/02/22
Ad1-GifVideo,2022-03-05 - 2022-03-11,Website purchases,,4642,5962,,529.62,37,,14.3140541,88.8326065,1.17410265,1.28436019,70,0.62059712,0.71090047,58,1.24946144,4,132.405,5,27,19.6155556,7.566,,05/03/22,11/03/22
Ad1-GifVideo,2022-02-26 - 2022-03-04,Website purchases,4,142649,328235,4693.525,18774.1,2092,4,8.97423518,57.1971301,0.64709735,2.30099755,2124,0.63734824,0.8489369,1232,0.86365835,54,347.668519,63,347,54.1040346,8.83903013,1996,26/02/22,04/03/22
Ad1-GifVideo,2022-02-19 - 2022-02-25,Website purchases,6,215410,314722,3306.53,19839.18,1406,6,14.1103698,63.0371566,0.79117443,1.46103709,2490,0.44674348,0.55057797,2031,0.94285316,62,319.986774,76,517,38.3736557,7.96754217,2994,19/02/22,25/02/22
Ad1-GifVideo,2022-02-12 - 2022-02-18,Website purchases,,12961,15285,,1223.99,104,,11.7691346,80.0778541,1.10565914,1.17930715,169,0.68040563,0.69439086,133,1.02615539,9,135.998889,11,59,20.7455932,7.24254438,,12/02/22,18/02/22
AvoidingPresentation_La_SingleImage,2022-03-26 - 2022-04-01,Website purchases,1,56256,62508,6926.24,6926.24,258,1,26.8458915,110.805657,0.61592116,1.11113481,385,0.41274717,0.45684016,364,0.64704209,4,1731.56,4,111,62.3985586,17.9902338,499,26/03/22,01/04/22
AvoidingPresentation_La_SingleImage,2022-03-19 - 2022-03-25,Website purchases,3,43951,50606,1482.69333,4448.08,190,3,23.4109474,87.8962969,0.51970122,1.15141863,263,0.37544955,0.42774908,248,0.56426475,5,889.616,8,89,49.978427,16.9128517,1497,19/03/22,25/03/22
AvoidingPresentation_La_SingleImage,2022-03-26 - 2022-04-01,Website purchases,,0,0,,0,,,,,,0,0,,0,0,,1,0,1,,,,,26/03/22,01/04/22
AvoidingPresentation_La_SingleImage,2022-03-19 - 2022-03-25,Website purchases,1,13640,17988,6827.27,6827.27,111,1,61.5069369,379.545808,1.13964865,1.31876833,205,0.61707805,0.76246334,184,1.34897361,6,1137.87833,9,84,81.2770238,33.3037561,499,19/03/22,25/03/22
AvoidingPresentation_La_SingleImage,2022-03-19 - 2022-03-25,Website purchases,3,7848,10182,1525.12667,4575.38,74,3,61.8294595,449.359654,1.0901591,1.29740061,111,0.72677274,0.89194699,98,1.24872579,10,457.538,14,66,69.3239394,41.2196396,1497,19/03/22,25/03/22
AvoidingPresentation_La_SingleImage,2022-03-12 - 2022-03-18,Website purchases,1,5574,6204,2427.83,2427.83,36,1,67.4397222,391.333011,0.87040619,1.11302476,54,0.58027079,0.62791532,47,0.84320057,2,1213.915,3,31,78.3170968,44.9598148,499,12/03/22,18/03/22
AvoidingPresentation_La_SingleImage,2022-03-12 - 2022-03-18,Website purchases,,2877,3278,,1521.12,19,,80.0589474,464.039048,0.976205,1.1393813,32,0.57962172,0.66041015,30,1.04275287,2,760.56,2,15,101.408,47.535,,12/03/22,18/03/22
BetterEngFour,2022-04-16 - 2022-04-18,Website purchases,5,54915,79364,3328.618,16643.09,401,5,41.5039651,209.705786,0.96517313,1.44521533,766,0.50526687,0.68105254,657,1.19639443,42,396.264048,57,264,63.0420076,21.7272715,2495,16/04/22,18/04/22
